ID_Valvula,Diametro_mm,Peso_g,Presion_bar,Temperatura_C,Dureza_HRC,Tiempo_ciclo_s
V0001,24.05,146.41,37.02,833.63,42.47,12.36
V0002,24.82,146.11,39.08,850.5,44.31,11.92
V0003,25.88,156.67,43.83,866.97,47.68,11.74
V0004,25.26,151.92,40.57,850.14,44.99,12.44
V0005,25.79,155.84,42.58,861.38,46.69,11.35
V0006,25.49,151.55,42.14,858.5,45.88,12.3
V0007,24.61,146.35,38.42,841.54,44.39,12.01
V0008,25.41,152.76,41.31,856.72,45.65,12.0
V0009,24.73,149.69,38.39,847.34,43.82,11.81
V0010,24.93,150.75,38.42,847.09,43.67,12.0
V0011,25.02,150.76,41.65,857.74,45.0,11.63
V0012,23.74,143.91,35.69,824.34,42.41,12.84
V0013,25.71,155.75,44.31,871.55,47.36,12.26
V0014,24.61,146.22,38.65,839.88,43.6,12.04
V0015,25.42,156.31,43.08,868.34,47.61,11.6
V0016,25.15,152.65,40.68,854.57,45.71,12.33
V0017,26.1,159.92,44.93,865.02,48.17,11.3
V0018,24.43,145.84,36.82,842.08,44.83,11.81
V0019,24.93,147.24,39.41,840.16,43.45,12.31
V0020,25.33,153.7,40.47,857.9,46.41,11.91
V0021,23.53,136.42,32.79,818.67,40.99,13.06
V0022,25.43,153.89,42.71,862.1,45.88,11.75
V0023,25.76,156.97,46.85,876.23,48.78,11.02
V0024,25.59,157.33,42.03,869.26,47.95,12.25
V0025,25.45,153.94,40.64,866.59,46.4,11.67
V0026,25.09,149.92,39.64,843.05,44.21,12.24
V0027,25.67,156.63,42.25,872.77,47.22,11.63
V0028,25.41,155.06,43.11,863.94,47.94,11.3
V0029,24.76,152.67,39.51,856.29,46.07,11.34
V0030,24.9,148.9,40.38,849.27,44.37,12.37
V0031,24.59,146.94,38.87,844.49,45.14,12.29
V0032,24.29,143.33,35.57,833.59,43.1,12.93
V0033,25.77,155.9,44.65,867.95,46.73,11.69
V0034,23.46,138.27,33.64,812.28,40.82,12.71
V0035,24.83,148.28,39.39,853.04,44.26,11.99
V0036,25.07,153.48,39.55,853.32,45.39,11.47
V0037,25.48,153.98,42.88,862.31,47.13,11.96
V0038,25.98,159.89,44.37,880.75,48.79,11.41
V0039,25.74,154.6,44.88,863.98,47.53,11.71
V0040,24.91,149.95,39.87,843.75,44.32,12.13
V0041,25.46,152.26,42.33,868.31,46.26,12.17
V0042,24.42,144.77,37.09,830.24,42.4,12.33
V0043,25.86,157.58,44.42,878.52,46.15,11.37
V0044,24.93,149.72,39.39,856.95,44.54,12.05
V0045,24.68,145.12,38.1,835.15,44.41,12.77
V0046,24.58,146.25,36.65,834.58,43.31,12.28
V0047,24.78,151.33,39.46,849.13,44.08,12.06
V0048,25.03,146.2,39.0,848.86,44.5,12.03
V0049,26.52,160.96,46.28,881.81,51.04,11.22
V0050,24.37,146.96,39.52,837.33,43.28,11.9
V0051,24.87,152.52,39.81,845.1,45.33,11.83
V0052,24.86,151.59,40.29,855.83,44.77,12.04
V0053,24.79,151.79,41.68,847.41,44.3,11.62
V0054,25.09,149.72,40.8,847.27,44.84,11.93
V0055,24.94,147.82,40.27,846.71,43.78,11.79
V0056,24.71,146.19,38.38,844.36,43.62,11.91
V0057,24.72,145.32,36.2,837.8,42.58,12.12
V0058,24.04,142.69,33.55,823.74,41.23,12.44
V0059,25.17,150.17,39.65,852.15,44.55,11.9
V0060,25.45,156.5,43.13,862.41,46.92,12.12
V0061,24.68,147.33,39.12,840.99,43.91,12.54
V0062,24.83,146.76,39.12,846.38,44.45,12.1
V0063,24.92,147.35,37.98,847.35,44.89,12.04
V0064,24.88,149.2,38.07,838.25,43.55,11.91
V0065,24.08,143.6,36.05,822.8,41.75,12.92
V0066,25.96,156.47,42.32,871.98,47.29,11.94
V0067,25.48,150.74,40.59,858.95,45.05,11.57
V0068,24.66,147.38,38.04,836.73,43.23,12.19
V0069,24.97,151.28,41.02,850.6,44.68,12.31
V0070,24.78,148.94,39.42,836.9,43.04,12.02
V0071,24.91,148.95,39.44,850.03,45.0,11.93
V0072,25.12,153.51,40.82,857.71,45.68,12.19
V0073,25.42,154.69,42.12,866.3,46.4,11.54
V0074,25.79,159.49,44.79,875.23,48.32,12.2
V0075,26.19,159.47,44.87,873.74,48.73,11.6
V0076,24.87,147.13,39.86,846.79,45.29,11.94
V0077,24.95,147.13,37.4,840.46,43.72,11.32
V0078,24.79,152.35,41.72,849.64,45.26,12.22
V0079,25.14,150.96,39.81,843.34,45.0,11.56
V0080,24.8,145.69,37.46,838.68,43.15,12.33
V0081,24.9,147.0,38.7,842.67,44.31,12.29
V0082,25.41,155.44,42.95,865.34,46.86,11.92
V0083,26.22,158.66,45.35,870.47,47.65,11.05
V0084,25.03,148.63,38.83,853.14,44.54,11.87
V0085,24.79,144.73,36.32,845.58,44.04,12.35
V0086,24.86,150.59,39.0,842.73,44.3,12.27
V0087,24.55,143.91,37.57,832.51,42.94,12.75
V0088,24.97,149.9,39.52,849.06,45.8,11.87
V0089,25.16,150.25,42.02,856.09,45.32,11.47
V0090,24.55,148.93,39.45,846.89,44.45,11.55
V0091,25.91,155.13,43.06,866.28,48.32,11.67
V0092,25.25,151.78,39.48,851.38,45.36,12.28
V0093,25.4,151.71,41.9,862.26,45.86,11.71
V0094,24.85,149.93,39.72,846.04,43.95,11.87
V0095,25.73,158.67,43.9,869.34,47.81,11.86
V0096,24.03,144.04,36.27,835.71,42.86,12.38
V0097,25.06,147.41,38.86,851.26,45.05,12.01
V0098,24.28,143.75,36.15,831.36,43.41,12.2
V0099,25.62,152.92,43.0,860.06,46.85,11.78
V0100,25.46,155.26,41.92,864.08,46.31,11.66
V0101,24.34,148.26,39.67,844.91,43.25,12.31
V0102,26.12,158.65,46.18,871.33,49.2,11.27
V0103,25.01,147.24,40.48,855.74,44.06,12.16
V0104,24.45,140.45,36.84,826.9,42.93,12.18
V0105,24.82,148.17,38.69,849.51,44.87,11.7
V0106,25.15,151.4,41.83,852.57,45.57,12.12
V0107,24.89,147.65,39.21,850.2,45.37,12.03
V0108,26.21,160.25,46.89,891.98,49.5,11.12
V0109,25.38,153.82,42.94,861.25,47.47,11.4
V0110,26.13,159.6,45.02,869.15,48.33,11.36
V0111,25.8,154.42,44.16,873.15,47.6,11.94
V0112,23.91,140.97,35.53,825.06,41.58,12.58
