ID_Valvula,Diametro_mm,Peso_g,Presion_bar,Temperatura_C,Dureza_HRC,Tiempo_ciclo_s
L061,24.33,147.52,38.01,834.88,43.76,12.26
L039,24.51,146.59,38.39,842.7,43.52,11.78
L018,25.4,154.39,43.52,865.09,48.45,11.38
L071,24.37,192.25,37.35,833.19,42.96,12.87
L069,25.23,150.49,41.24,851.88,46.32,12.02
L077,26.13,156.72,45.75,868.23,47.98,8.34
L030,24.56,147.8,38.17,830.55,43.8,12.04
L010,24.73,147.15,37.87,841.23,43.69,12.19
L005,25.54,149.92,40.69,854.12,46.22,12.03
L006,25.87,156.07,43.65,861.59,46.67,11.98
L089,25.69,150.92,41.62,877.11,45.36,12.05
L056,23.78,143.13,37.63,828.87,40.75,12.71
L047,24.16,141.07,35.44,830.88,41.69,12.85
L074,23.68,93.02,33.73,822.81,41.03,12.16
L009,25.16,154.11,41.93,856.68,46.56,11.75
L065,25.28,153.13,40.52,854.95,46.0,12.13
L060,26.03,159.33,47.01,875.18,49.14,11.21
L063,25.05,150.61,40.19,856.34,45.24,12.49
L008,25.01,150.19,39.79,847.68,45.03,11.88
L085,24.97,148.69,38.77,845.6,31.69,12.26
L083,26.28,160.47,46.22,885.0,49.33,8.49
L029,24.67,148.11,37.37,839.85,43.34,11.97
L004,24.43,148.76,36.26,840.62,44.25,12.22
L073,24.52,100.65,37.03,836.83,43.46,12.42
L014,24.63,147.74,39.25,841.58,44.38,12.51
L078,24.4,198.5,37.85,836.49,43.36,11.9
L095,25.48,151.54,43.69,846.22,44.56,11.64
L045,26.05,160.01,44.98,881.81,49.34,12.13
L090,24.86,154.52,38.17,837.05,43.94,11.94
L079,24.99,153.83,70.88,857.96,45.43,11.84
L036,25.24,152.07,40.88,851.53,46.45,11.82
L015,25.92,153.8,43.78,864.85,47.43,12.16
L098,25.18,157.85,41.62,852.14,43.57,12.21
L019,24.99,153.19,40.02,855.5,46.38,11.64
L020,24.11,142.57,35.44,830.75,43.72,12.56
L034,23.76,138.32,34.17,816.67,40.11,12.38
L022,25.68,157.45,44.65,876.73,47.12,12.08
L002,24.44,143.58,36.44,833.82,42.16,12.66
L054,24.53,146.0,38.14,842.68,43.29,11.8
L003,25.1,150.36,41.11,838.77,46.65,11.6
L087,25.48,139.86,34.39,850.21,45.3,12.57
L011,25.21,150.59,39.84,856.1,45.83,11.64
L021,25.28,152.87,42.42,858.7,46.84,11.68
L026,25.79,152.29,41.62,864.38,45.61,12.23
L058,25.3,149.37,40.38,854.43,45.66,12.13
L057,25.34,154.04,41.23,857.29,46.86,11.45
L100,24.09,156.32,34.39,858.87,47.59,11.91
L066,24.33,141.92,35.12,830.76,42.82,11.84
L053,25.31,151.49,40.6,849.95,45.29,11.41
L043,23.19,136.52,31.04,799.55,38.86,13.01
L059,24.57,147.82,38.7,836.58,43.78,12.4
L017,25.27,150.22,41.79,856.78,45.52,12.19
L028,24.16,144.7,36.09,835.25,41.59,12.41
L024,25.0,147.3,38.9,851.52,44.54,12.33
L086,24.63,149.25,41.06,871.91,42.2,12.18
L096,24.33,145.64,40.18,834.66,44.54,12.15
L050,24.31,141.87,37.81,828.38,42.63,12.83
L082,21.37,160.62,43.7,868.45,47.67,11.74
L052,25.96,158.17,46.04,879.1,47.85,11.62
L080,23.95,144.09,54.18,829.16,42.44,12.3
L025,26.76,164.3,48.58,891.62,52.07,11.33
L064,24.61,143.46,36.56,832.08,43.09,12.5
L038,26.49,164.91,48.33,899.09,51.05,10.84
L055,24.59,144.37,36.06,832.37,43.32,12.24
L049,24.32,145.55,38.28,839.88,43.41,12.36
L044,25.18,151.43,39.83,852.24,45.64,12.04
L016,26.1,158.02,45.72,878.62,47.83,11.13
L023,25.86,156.56,43.22,866.85,47.15,11.51
L097,25.1,148.71,41.83,837.42,46.26,12.38
L068,25.97,158.38,43.69,871.03,48.32,11.34
L051,24.0,143.91,36.63,826.63,41.67,12.27
L081,25.01,150.51,41.1,751.65,45.53,12.1
L012,25.56,156.19,42.2,861.19,46.75,11.9
L013,25.28,152.24,40.7,853.11,45.31,12.14
L035,25.05,151.05,39.99,850.22,45.01,11.97
L093,25.16,142.6,35.42,855.58,42.25,11.58
L067,24.33,146.65,38.89,843.96,41.81,12.24
L033,25.52,153.3,41.65,857.29,46.63,11.66
L088,25.66,154.8,41.61,864.34,48.43,11.86
L084,24.22,143.34,66.87,832.28,42.72,12.09
L001,25.45,153.04,43.3,862.53,48.27,11.81
L094,25.44,149.24,37.8,843.66,42.23,12.07
L032,25.94,160.48,44.76,879.25,48.77,10.98
L007,24.4,145.5,36.96,832.64,41.98,12.33
L046,24.94,153.67,42.59,860.38,46.89,12.29
L037,25.11,148.67,39.1,849.66,44.7,12.62
L048,24.1,141.52,34.92,816.38,41.47,12.6
L072,25.62,152.31,43.51,863.82,47.25,14.65
L062,24.82,146.37,38.79,842.16,43.56,12.57
L042,26.18,160.7,46.53,881.03,49.34,11.53
L040,26.13,160.74,45.64,876.56,48.84,11.02
L041,25.01,147.85,41.27,852.26,44.92,11.97
L076,25.8,157.35,45.48,876.91,48.83,7.11
L075,25.59,153.59,42.33,856.9,46.9,7.42
L091,24.78,156.79,35.12,833.46,46.95,11.89
L070,25.12,152.0,42.22,857.56,46.31,12.14
L027,24.86,150.22,41.04,841.51,44.36,12.06
L031,24.06,142.42,36.16,832.6,42.41,12.29
L099,25.71,146.66,44.68,882.65,41.84,12.36
L092,25.5,144.39,47.06,857.59,44.16,12.68
