ID_Valvula,Diametro_mm,Peso_g,Presion_bar,Temperatura_C,Dureza_HRC,Tiempo_ciclo_s,Error_AE,Anomalia_AE,Anomalia_Excel,n_sensores_fuera_Excel,fuera_Diametro_mm,fuera_Peso_g,fuera_Presion_bar,fuera_Temperatura_C,fuera_Dureza_HRC,fuera_Tiempo_ciclo_s,contrib_Diametro_mm_pct,contrib_Peso_g_pct,contrib_Presion_bar_pct,contrib_Temperatura_C_pct,contrib_Dureza_HRC_pct,contrib_Tiempo_ciclo_s_pct
L076,25.8,157.35,45.48,876.91,48.83,7.11,17.7473121908023,SI,SI,1,NO,NO,NO,NO,NO,SI,0.030136336096274356,0.0456761693706256,0.2519778589156613,0.13396819138128294,0.3095161092832351,99.22872533495293
L075,25.59,153.59,42.33,856.9,46.9,7.42,17.089232170265536,SI,SI,1,NO,NO,NO,NO,NO,SI,0.06000706034757211,0.09365784624924767,0.00852184631897689,0.022565029934317388,0.20884611229582878,99.60640210485406
L079,24.99,153.83,70.88,857.96,45.43,11.84,14.856061201816106,SI,SI,1,NO,NO,SI,NO,NO,NO,1.498694483573206,2.9017078413442596,90.39047729110655,1.5131312610748164,3.6706125612700173,0.025376561631151616
L084,24.22,143.34,66.87,832.28,42.72,12.09,14.006704899963786,SI,SI,1,NO,NO,SI,NO,NO,NO,3.678750169493781,6.4421082044925795,80.97389953879393,4.195131123323069,4.5483092539265035,0.16180170997012241
L078,24.4,198.5,37.85,836.49,43.36,11.9,13.177240096123073,SI,SI,1,NO,SI,NO,NO,NO,NO,1.3965082096217245,93.86240501128222,0.3046018097369629,1.9907513456262769,1.8340613033511275,0.611672320381679
L074,23.68,93.02,33.73,822.81,41.03,12.16,12.167544729291299,SI,SI,1,NO,SI,NO,NO,NO,NO,1.535643689518207,83.64780692133453,3.598430504342826,2.5307631543391778,2.016054280271221,6.671301450194047
L071,24.37,192.25,37.35,833.19,42.96,12.87,11.949969462085166,SI,SI,1,NO,SI,NO,NO,NO,NO,0.3831267824421105,96.82707162794237,0.0039533920888975066,0.8016177987567037,0.37080813955528513,1.6134222592146614
L073,24.52,100.65,37.03,836.83,43.46,12.42,10.397643206380573,SI,SI,1,NO,SI,NO,NO,NO,NO,2.889573852512465,88.09270107656067,2.9843875822335115,2.374929669782012,2.876865158067939,0.7815426608433947
L077,26.13,156.72,45.75,868.23,47.98,8.34,9.43556685821139,SI,SI,1,NO,NO,NO,NO,NO,SI,0.47693592393935147,0.08862997537505309,0.8861140272785868,0.005786392763973333,0.15676870013074862,98.38576498051228
L083,26.28,160.47,46.22,885.0,49.33,8.49,7.727576067548019,SI,SI,1,NO,NO,NO,NO,NO,SI,1.2140257175134789e-05,0.14123838599623775,0.2953719668801919,0.3605481826050916,0.11756361570655445,99.08526570855474
L072,25.62,152.31,43.51,863.82,47.25,14.65,7.362699601745018,SI,SI,1,NO,NO,NO,NO,NO,SI,8.589416651280823,1.4053531025620527,4.977401079938659,6.333072631840877,5.5308924096321475,73.16386412474543
L082,21.37,160.62,43.7,868.45,47.67,11.74,7.1157723096726455,SI,SI,1,SI,NO,NO,NO,NO,NO,94.27819162171883,1.3005355340756657,2.444431895531938,0.28616063232435596,0.23475104004558422,1.4559292763036358
L081,25.01,150.51,41.1,751.65,45.53,12.1,5.825451924948992,SI,SI,1,NO,NO,NO,SI,NO,NO,1.550278766135834,1.7038785931804459,2.6706464183654304,91.07915417809514,2.751442036944306,0.244600007278872
L085,24.97,148.69,38.77,845.6,31.69,12.26,5.681259361846647,SI,SI,1,NO,NO,NO,NO,SI,NO,1.1925655587969952,0.44654799883642887,0.07740246446832191,0.4575111745334341,97.78903729472903,0.03693550863578679
L080,23.95,144.09,54.18,829.16,42.44,12.3,4.832771415159016,SI,SI,1,NO,NO,SI,NO,NO,NO,7.619338946203467,2.96889928546482,81.69104882286356,4.442855666425077,2.90500597672924,0.3728513023138118
L099,25.71,146.66,44.68,882.65,41.84,12.36,1.763097154218844,SI,NO,0,NO,NO,NO,NO,NO,NO,6.193982281320586,9.868231684315399,11.50241323907534,28.597500649021843,32.4434727477377,11.394399398529123
L100,24.09,156.32,34.39,858.87,47.59,11.91,1.463007235507866,SI,NO,0,NO,NO,NO,NO,NO,NO,18.1398156676622,18.99869577623604,26.090025289155605,5.818741269076117,25.57067568458929,5.38204631328075
L092,25.5,144.39,47.06,857.59,44.16,12.68,1.419707276081566,SI,NO,0,NO,NO,NO,NO,NO,NO,1.4273104693984315,9.737028882424095,47.27574727895387,0.38540918542460284,2.6629089420189316,38.51159524178008
L091,24.78,156.79,35.12,833.46,46.95,11.89,1.2351924638404062,SI,NO,0,NO,NO,NO,NO,NO,NO,0.09487899846735097,39.81244739602078,20.525212335965467,5.386007228077223,28.096816574841146,6.08463746662805
L087,25.48,139.86,34.39,850.21,45.3,12.57,1.225571761888781,SI,NO,0,NO,NO,NO,NO,NO,NO,23.279013794238082,26.997681358785318,27.08299432648741,4.5373910871341625,6.620405063229153,11.482514370125873
L093,25.16,142.6,35.42,855.58,42.25,11.58,1.0469390154286886,SI,NO,0,NO,NO,NO,NO,NO,NO,4.46537013091141,17.153903324556122,26.10661405304042,9.010985304068988,15.952097231158179,27.311029956264896
L086,24.63,149.25,41.06,871.91,42.2,12.18,0.719055574113351,SI,NO,0,NO,NO,NO,NO,NO,NO,8.693107442000576,1.7348974314898482,1.4774060982254236,42.767360445895605,43.416045826471304,1.9111827559172418
L045,26.05,160.01,44.98,881.81,49.34,12.13,0.4610877717055855,NO,NO,0,NO,NO,NO,NO,NO,NO,7.845353186416932,2.6964430090132496,5.360657863411012,12.991342687494967,10.815232713805598,60.29097053985826
L094,25.44,149.24,37.8,843.66,42.23,12.07,0.43027007128355627,NO,NO,0,NO,NO,NO,NO,NO,NO,20.69997140380143,0.26064845047340934,19.320025748046877,1.3739977175281086,58.24276369837127,0.10259298177891135
L098,25.18,157.85,41.62,852.14,43.57,12.21,0.4094500991156776,NO,NO,0,NO,NO,NO,NO,NO,NO,0.7849808556416235,50.07798503397953,3.3620687502382225,0.5557866843727858,36.67497246848858,8.544206207279267
L089,25.69,150.92,41.62,877.11,45.36,12.05,0.3854188487177503,NO,NO,0,NO,NO,NO,NO,NO,NO,7.888131959354092,11.842822447416363,1.6147998339383558,45.52121168422321,10.866202365658387,22.266831709409594
L090,24.86,154.52,38.17,837.05,43.94,11.94,0.34858346037414306,NO,NO,0,NO,NO,NO,NO,NO,NO,0.46212229473739247,72.08382310198958,6.070276806199894,9.965680398689308,0.833520949846505,10.584576448537339
L066,24.33,141.92,35.12,830.76,42.82,11.84,0.3393473217147902,NO,NO,0,NO,NO,NO,NO,NO,NO,0.019379311550299358,11.877510678603558,12.698790597252739,1.151642000108397,0.09978639947358499,74.15289101301141
L015,25.92,153.8,43.78,864.85,47.43,12.16,0.3341879995256403,NO,NO,0,NO,NO,NO,NO,NO,NO,22.623927081855513,0.33795749299409356,8.2345869799513,0.5573355105720103,7.075457883695791,61.17073505093129
L097,25.1,148.71,41.83,837.42,46.26,12.38,0.3169004479492899,NO,NO,0,NO,NO,NO,NO,NO,NO,0.09007406610291707,0.016430521368770563,14.948320192929113,29.615311730535517,25.132852300761737,30.197011188301943
L003,25.1,150.36,41.11,838.77,46.65,11.6,0.3124732945698594,NO,NO,0,NO,NO,NO,NO,NO,NO,4.521759753538373,0.1259584264731819,0.0449622054588902,55.14194512113826,19.24794163480988,20.917432858581414
L026,25.79,152.29,41.62,864.38,45.61,12.23,0.2943989831327119,NO,NO,0,NO,NO,NO,NO,NO,NO,35.68918679149915,0.00044889425475660327,0.007857808076109123,10.900409405495024,0.7988506084622733,52.60324649221268
L037,25.11,148.67,39.1,849.66,44.7,12.62,0.27469614410298654,NO,NO,0,NO,NO,NO,NO,NO,NO,6.922604506495126,0.21496400943364594,1.6446671627140914,5.317531541908471,0.5547328418640438,85.34549993758462
L056,23.78,143.13,37.63,828.87,40.75,12.71,0.24588070708746657,NO,NO,0,NO,NO,NO,NO,NO,NO,11.120295197881486,2.7516014670770166,54.1438984632089,2.1956238885754695,17.115654423344658,12.672926559912472
L038,26.49,164.91,48.33,899.09,51.05,10.84,0.24557957796048427,NO,SI,1,NO,NO,NO,SI,NO,NO,39.83139728662339,0.02640624533859346,7.502436450838484,10.498987481410412,0.1273279907661856,42.01344454502294
L095,25.48,151.54,43.69,846.22,44.56,11.64,0.24408507948302674,NO,NO,0,NO,NO,NO,NO,NO,NO,5.193563528282727,0.10176001408503356,30.729572848905587,33.56835178441039,21.068293861418123,9.338457962898152
L022,25.68,157.45,44.65,876.73,47.12,12.08,0.2432727842196595,NO,NO,0,NO,NO,NO,NO,NO,NO,2.032623100097247,0.2924399242766163,19.825984960670347,23.546170469188418,3.115950933956375,51.186830611811004
L050,24.31,141.87,37.81,828.38,42.63,12.83,0.24262207153234785,NO,NO,0,NO,NO,NO,NO,NO,NO,1.2108215979805477,8.853692856553723,20.871422937411754,1.9020548680007638,0.607939380913711,66.55406835913949
L063,25.05,150.61,40.19,856.34,45.24,12.49,0.22147675464312785,NO,NO,0,NO,NO,NO,NO,NO,NO,1.0615066517710725,3.6654797955092424,0.11101751337886222,20.18568004279733,4.8595830394365285,70.11673295710698
L046,24.94,153.67,42.59,860.38,46.89,12.29,0.22021665168442292,NO,NO,0,NO,NO,NO,NO,NO,NO,8.24388966047018,2.6888746005645783,19.33397541308338,7.848606201131692,22.642212338716064,39.24244178603412
L053,25.31,151.49,40.6,849.95,45.29,11.41,0.1992620011945064,NO,NO,0,NO,NO,NO,NO,NO,NO,1.128675580369117,1.2179725750982908,9.277359910954138,20.386093430975386,2.357010670685733,65.63288783191733
L032,25.94,160.48,44.76,879.25,48.77,10.98,0.18397220459366959,NO,NO,0,NO,NO,NO,NO,NO,NO,25.238801881386223,2.873636687857174,1.592341977856248,0.013257640951346959,0.8759933432709487,69.40596846867805
L054,24.53,146.0,38.14,842.68,43.29,11.8,0.17256232844845365,NO,NO,0,NO,NO,NO,NO,NO,NO,5.696609941458633,5.267967357450023,3.346463393541557,0.7682197963700209,7.626772135188701,77.29396737599107
