ID_Valvula,Diametro_mm,Peso_g,Presion_bar,Temperatura_C,Dureza_HRC,Tiempo_ciclo_s,Error_reconstruccion,Score_z,Clasificacion
L076,25.8,157.35,45.48,876.91,48.83,7.11,17.7473121908023,147.6456917634143,ANOMALIA
L075,25.59,153.59,42.33,856.9,46.9,7.42,17.089232170265536,142.13494863635825,ANOMALIA
L079,24.99,153.83,70.88,857.96,45.43,11.84,14.856061201816106,123.43443930333513,ANOMALIA
L084,24.22,143.34,66.87,832.28,42.72,12.09,14.006704899963786,116.32195410884967,ANOMALIA
L078,24.4,198.5,37.85,836.49,43.36,11.9,13.177240096123073,109.37603974546907,ANOMALIA
L074,23.68,93.02,33.73,822.81,41.03,12.16,12.167544729291299,100.92087984158668,ANOMALIA
L071,24.37,192.25,37.35,833.19,42.96,12.87,11.949969462085166,99.0989108242085,ANOMALIA
L073,24.52,100.65,37.03,836.83,43.46,12.42,10.397643206380573,86.09977549474618,ANOMALIA
L077,26.13,156.72,45.75,868.23,47.98,8.34,9.43556685821139,78.04337588083277,ANOMALIA
L083,26.28,160.47,46.22,885.0,49.33,8.49,7.727576067548019,63.74071022165342,ANOMALIA
L072,25.62,152.31,43.51,863.82,47.25,14.65,7.362699601745018,60.68524521223356,ANOMALIA
L082,21.37,160.62,43.7,868.45,47.67,11.74,7.1157723096726455,58.617483184508586,ANOMALIA
L081,25.01,150.51,41.1,751.65,45.53,12.1,5.825451924948992,47.81237746800863,ANOMALIA
L085,24.97,148.69,38.77,845.6,31.69,12.26,5.681259361846647,46.60491310001168,ANOMALIA
L080,23.95,144.09,54.18,829.16,42.44,12.3,4.832771415159016,39.49969948665058,ANOMALIA
L099,25.71,146.66,44.68,882.65,41.84,12.36,1.763097154218844,13.79433568913062,ANOMALIA
L100,24.09,156.32,34.39,858.87,47.59,11.91,1.463007235507866,11.281391358004333,ANOMALIA
L092,25.5,144.39,47.06,857.59,44.16,12.68,1.419707276081566,10.918798745610992,ANOMALIA
L091,24.78,156.79,35.12,833.46,46.95,11.89,1.2351924638404062,9.373677025354777,ANOMALIA
